SEQN,RIDAGEMN,RIDRETH1,DMDEDUC2,DMDMARTL
42521,517,1,5,1
42522,112,1,NA,NA
42523,481,4,4,1
42524,770,3,3,1
42525,235,2,NA,NA
42526,781,3,4,1
42527,642,2,2,1
42528,494,3,2,3
42529,855,3,2,3
42530,1,3,NA,NA
42531,762,4,5,2
42532,806,1,3,1
42533,798,3,2,3
42534,151,3,NA,NA
42535,360,4,2,6
42536,373,3,4,5
42537,749,4,4,1
42538,160,2,NA,NA
42539,607,3,5,1
42540,94,4,NA,NA
42541,864,1,1,2
42542,477,4,4,3
42543,546,3,5,5
42544,808,1,1,1
42545,891,3,3,1
42546,623,3,2,1
42547,957,3,3,2
42548,105,3,NA,NA
42549,9,1,NA,NA
42550,217,3,NA,NA
42551,26,4,NA,NA
42552,84,4,NA,NA
42553,92,3,NA,NA
42554,251,4,4,5
42555,32,1,NA,NA
42556,151,3,NA,NA
42557,816,3,3,1
42558,954,3,4,1
42559,502,3,5,1
42560,714,3,4,5
42561,33,3,NA,NA
42562,127,1,NA,NA
42563,586,5,2,1
42564,1,3,NA,NA
42565,4,4,NA,NA
42566,392,3,4,1
42567,745,3,2,1
42568,508,2,4,6
42569,34,3,NA,NA
42570,128,1,NA,NA
42571,288,1,3,5
42572,204,3,NA,NA
42573,87,1,NA,NA
42574,186,4,NA,NA
42575,501,3,3,1
42576,343,1,1,6
42577,348,4,4,1
42578,838,4,1,5
42579,62,4,NA,NA
42580,NA,3,3,2
42581,534,4,3,4
42582,732,3,3,3
42583,182,4,NA,NA
42584,584,3,3,3
42585,57,4,NA,NA
42586,632,3,5,1
42587,579,3,5,1
42588,124,1,NA,NA
42589,201,2,NA,NA
42590,718,3,4,1
42591,824,4,5,3
42592,641,1,3,1
42593,77,3,NA,NA
42594,771,3,3,1
42595,217,3,NA,NA
42596,717,2,1,2
42597,103,1,NA,NA
42598,164,2,NA,NA
42599,808,3,3,1
42600,528,2,1,1
42601,1,1,NA,NA
42602,24,1,NA,NA
42603,NA,3,4,2
42604,524,3,5,1
42605,638,1,5,1
42606,85,5,NA,NA
42607,393,4,4,3
42608,107,4,NA,NA
42609,402,4,2,1
42610,3,3,NA,NA
42611,37,2,NA,NA
42612,442,2,1,5
42613,627,1,1,1
42614,235,4,NA,NA
42615,8,1,NA,NA
42616,17,3,NA,NA
42617,857,5,5,1
42618,40,3,NA,NA
42619,0,1,NA,NA
42620,21,2,NA,NA
42621,659,3,3,1
42622,117,1,NA,NA
42623,61,4,NA,NA
42624,13,2,NA,NA
42625,122,4,NA,NA
42626,668,4,2,1
42627,NA,1,1,5
42628,492,3,5,1
42629,721,1,1,4
42630,137,1,NA,NA
42631,1,4,NA,NA
42632,790,3,4,1
